time_s,T10_K,T10_C,T_heater_avg_K,T_heater_avg_C,Q_in_W,Q_heater_to_air_total_W,Q_heater_to_air_conv_W,Q_heater_to_air_rad_W,Q_air_to_duct_total_W,Q_air_to_duct_conv_W,Q_air_to_duct_rad_W,Q_heater_to_support_W,OF_Q_heater_total_raw_W,OF_Q_heater_conv_raw_W,OF_Q_duct_total_raw_W,OF_Q_duct_conv_raw_W,OF_Q_support_raw_W
0,293.15,20,293.15,20,4.36875,0,0,0,-0,-0,-0,0,0,0,0,0,0
0.5,293.43451,20.28451,293.434329,20.284329,4.36875,0.0101380605,0.00785800975,0.00228005075,0.000868990424,-0.00327147675,0.004140467174,0,0.0101380605,0.00785800975,-0.000868990424,0.00327147675,0
1,293.71826,20.56826,293.718099,20.568099,4.36875,0.0180352105,0.0125019037,0.0055333068,0.00718781013,-0.000204642437,0.007392452567,0,0.0180352105,0.0125019037,-0.00718781013,0.000204642437,0
1.5,294.00152,20.85152,294.00137,20.85137,4.36875,0.0254850945,0.016687839,0.0087972555,0.0128389854,0.00218409236,0.01065489304,0,0.0254850945,0.016687839,-0.0128389854,-0.00218409236,0
2,294.28439,21.13439,294.284164,21.134164,4.36875,0.0327049719,0.0206397363,0.0120652356,0.0183595724,0.00443806729,0.01392150511,0,0.0327049719,0.0206397363,-0.0183595724,-0.00443806729,0
2.5,294.56687,21.41687,294.566491,21.416491,4.36875,0.0398062093,0.0244689102,0.0153372991,0.0238694349,0.00667714554,0.01719228936,0,0.0398062093,0.0244689102,-0.0238694349,-0.00667714554,0
3,294.84897,21.69897,294.848358,21.698358,4.36875,0.0468714987,0.0282594573,0.0186120414,0.0294023187,0.00893647835,0.02046584035,0,0.0468714987,0.0282594573,-0.0294023187,-0.00893647835,0
3.5,295.13069,21.98069,295.129762,21.979762,4.36875,0.0540052568,0.032113113,0.0218921438,0.0349645967,0.0112199309,0.0237446658,0,0.0540052568,0.032113113,-0.0349645967,-0.0112199309,0
4,295.41201,22.26201,295.410694,22.260694,4.36875,0.0613666154,0.0361905963,0.0251760191,0.0405395916,0.0135120995,0.0270274921,0,0.0613666154,0.0361905963,-0.0405395916,-0.0135120995,0
4.5,295.69289,22.54289,295.691139,22.541139,4.36875,0.0689666085,0.0405032167,0.0284633918,0.0461003195,0.0157864564,0.0303138631,0,0.0689666085,0.0405032167,-0.0461003195,-0.0157864564,0
5,295.97331,22.82331,295.971077,22.821077,4.36875,0.0769705685,0.045216568,0.0317540005,0.0516083075,0.0180048565,0.033603451,0,0.0769705685,0.045216568,-0.0516083075,-0.0180048565,0
5.5,296.25322,23.10322,296.250477,23.100477,4.36875,0.0854571848,0.0504097256,0.0350474592,0.0570205472,0.0201245786,0.0368959686,0,0.0854571848,0.0504097256,-0.0570205472,-0.0201245786,0
6,296.53257,23.38257,296.529309,23.379309,4.36875,0.094397313,0.0560558277,0.0383414853,0.0623052226,0.0221161384,0.0401890842,0,0.094397313,0.0560558277,-0.0623052226,-0.0221161384,0
6.5,296.81134,23.66134,296.807547,23.657547,4.36875,0.103623012,0.061988414,0.041634598,0.0674758289,0.0239943682,0.0434814607,0,0.103623012,0.061988414,-0.0674758289,-0.0239943682,0
7,297.08953,23.93953,297.085182,23.935182,4.36875,0.112872584,0.0679400428,0.0449325412,0.0726120333,0.0258330976,0.0467789357,0,0.112872584,0.0679400428,-0.0726120333,-0.0258330976,0
7.5,297.36718,24.21718,297.36222,24.21222,4.36875,0.121954834,0.0737247901,0.0482300439,0.0778311545,0.0277550438,0.0500761107,0,0.121954834,0.0737247901,-0.0778311545,-0.0277550438,0
8,297.64431,24.49431,297.63867,24.48867,4.36875,0.130926839,0.0793940523,0.0515327867,0.0832772152,0.0298984221,0.0533787931,0,0.130926839,0.0793940523,-0.0832772152,-0.0298984221,0
8.5,297.92092,24.77092,297.914533,24.764533,4.36875,0.140014568,0.0851834574,0.0548311106,0.0890212624,0.0323437193,0.0566775431,0,0.140014568,0.0851834574,-0.0890212624,-0.0323437193,0
9,298.19698,25.04698,298.189794,25.039794,4.36875,0.149420853,0.0912904165,0.0581304365,0.0950677365,0.0350902804,0.0599774561,0,0.149420853,0.0912904165,-0.0950677365,-0.0350902804,0
9.5,298.47244,25.32244,298.46443,25.31443,4.36875,0.159143886,0.0977092824,0.0614346036,0.101418108,0.038135581,0.063282527,0,0.159143886,0.0977092824,-0.101418108,-0.038135581,0
10,298.74728,25.59728,298.738427,25.588427,4.36875,0.169036435,0.104297689,0.064738746,0.108114381,0.0415264809,0.0665879001,0,0.169036435,0.104297689,-0.108114381,-0.0415264809,0
10.5,299.0215,25.8715,299.011777,25.861777,4.36875,0.179093928,0.111035674,0.068058254,0.115196463,0.0453337822,0.0698626808,0,0.179093928,0.111035674,-0.115196463,-0.0453337822,0
11,299.29507,26.14507,299.284474,26.134474,4.36875,0.188992747,0.117605938,0.071386809,0.123353516,0.0496255097,0.0737280063,0,0.188992747,0.117605938,-0.123353516,-0.0496255097,0
11.5,299.56803,26.41803,299.556546,26.406546,4.36875,0.19800621,0.12329977,0.07470644,0.138941088,0.0594429735,0.0794981145,0,0.19800621,0.12329977,-0.138941088,-0.0594429735,0
12,299.84053,26.69053,299.828109,26.678109,4.36875,0.20466162,0.126642137,0.078019483,0.157537989,0.074035138,0.083502851,0,0.20466162,0.126642137,-0.157537989,-0.074035138,0
12.5,300.11268,26.96268,300.099238,26.949238,4.36875,0.211799293,0.130462538,0.081336755,0.163636914,0.0780240094,0.0856129046,0,0.211799293,0.130462538,-0.163636914,-0.0780240094,0
13,300.38438,27.23438,300.36985,27.21985,4.36875,0.220458835,0.135796455,0.08466238,0.169788044,0.0815404681,0.0882475759,0,0.220458835,0.135796455,-0.169788044,-0.0815404681,0
13.5,300.65553,27.50553,300.639868,27.489868,4.36875,0.229879795,0.141891274,0.087988521,0.177459613,0.0859117209,0.0915478921,0,0.229879795,0.141891274,-0.177459613,-0.0859117209,0
14,300.92607,27.77607,300.909262,27.759262,4.36875,0.239556544,0.148249672,0.091306872,0.18550531,0.0906442719,0.0948610381,0,0.239556544,0.148249672,-0.18550531,-0.0906442719,0
